NAMESPACE                      DEPLOYMENT                                         CONTAINERS                CPU_REQ      CPU_LIM      MEM_REQ      MEM_LIM     
api                            payments-consumer-primary                          third-party-log           2m           20m          6Mi          60Mi        
api                            payments-consumer-primary                          payments-stats-log        2m           20m          6Mi          60Mi        
api                            payments-consumer-primary                          cards-stats-log           2m           20m          6Mi          60Mi        
api                            payments-consumer-primary                          frauds-stats-log          1m           10m          6Mi          60Mi        
api                            payments-consumer-primary                          hystrix-stats-log         1m           10m          6Mi          60Mi        
api                            payments-consumer-primary                          btg-log                   2m           20m          6Mi          60Mi        
api                            payments-pci-private                               app                       100m         4            1000Mi       1000Mi      
api                            payments-pci-private                               payments-stats-log        2m           20m          6Mi          60Mi        
api                            payments-pci-private                               payments-verify-stats-log 1m           10m          6Mi          60Mi        
api                            payments-pci-private                               cards-stats-log           2m           20m          6Mi          60Mi        
api                            payments-pci-private                               frauds-stats-log          1m           10m          6Mi          60Mi        
api                            payments-pci-private                               third-party-log           2m           20m          6Mi          60Mi        
api                            payments-pci-private                               hystrix-stats-log         1m           10m          6Mi          60Mi        
api                            payments-pci-private                               btg-log                   2m           20m          6Mi          60Mi        
api                            payments-pci-private-primary                       app                       100m         4            1000Mi       1000Mi      
api                            payments-pci-private-primary                       payments-stats-log        2m           20m          6Mi          60Mi        
api                            payments-pci-private-primary                       payments-verify-stats-log 1m           10m          6Mi          60Mi        
api                            payments-pci-private-primary                       cards-stats-log           2m           20m          6Mi          60Mi        
api                            payments-pci-private-primary                       frauds-stats-log          1m           10m          6Mi          60Mi        
api                            payments-pci-private-primary                       third-party-log           2m           20m          6Mi          60Mi        
api                            payments-pci-private-primary                       hystrix-stats-log         1m           10m          6Mi          60Mi        
api                            payments-pci-private-primary                       btg-log                   2m           20m          6Mi          60Mi        
api                            payments-pci-public                                app                       100m         4            1500Mi       1500Mi      
api                            payments-pci-public                                cards-stats-log           2m           20m          6Mi          60Mi        
api                            payments-pci-public-primary                        app                       100m         4            1500Mi       1500Mi      
api                            payments-pci-public-primary                        cards-stats-log           2m           20m          6Mi          60Mi        
api                            payments-private                                   app                       1            4            1950Mi       1950Mi      
api                            payments-private                                   third-party-log           2m           20m          6Mi          60Mi        
api                            payments-private                                   payments-stats-log        2m           20m          6Mi          60Mi        
api                            payments-private                                   frauds-stats-log          1m           10m          6Mi          60Mi        
api                            payments-private                                   cards-stats-log           2m           20m          6Mi          60Mi        
api                            payments-private                                   hystrix-stats-log         1m           10m          6Mi          60Mi        
api                            payments-private                                   btg-log                   2m           20m          6Mi          60Mi        
api                            payments-private-primary                           app                       1            4            1950Mi       1950Mi      
api                            payments-private-primary                           third-party-log           2m           20m          6Mi          60Mi        
api                            payments-private-primary                           payments-stats-log        2m           20m          6Mi          60Mi        
api                            payments-private-primary                           frauds-stats-log          1m           10m          6Mi          60Mi        
api                            payments-private-primary                           cards-stats-log           2m           20m          6Mi          60Mi        
api                            payments-private-primary                           hystrix-stats-log         1m           10m          6Mi          60Mi        
api                            payments-private-primary                           btg-log                   2m           20m          6Mi          60Mi        
api                            payments-public                                    app                       100m         4            700Mi        1000Mi      
api                            payments-public                                    cards-stats-log           2m           20m          6Mi          60Mi        
api                            payments-public-primary                            app                       100m         4            700Mi        1000Mi      
api                            payments-public-primary                            cards-stats-log           2m           20m          6Mi          60Mi        
api                            payments-vault                                     app                       100m         4            1000Mi       1000Mi      
api                            payments-vault                                     cards-stats-log           2m           20m          6Mi          60Mi        
api                            payments-vault-primary                             app                       100m         4            1000Mi       1000Mi      
api                            payments-vault-primary                             cards-stats-log           2m           20m          6Mi          60Mi        
api                            pix-dict-service                                   app                       100m         4            700Mi        1000Mi      
api                            pix-dict-service-consumer                          app                       100m         4            700Mi        1000Mi      
api                            pix-dict-service-consumer-primary                  app                       100m         4            700Mi        1000Mi      
api                            pix-dict-service-primary                           app                       100m         4            700Mi        1000Mi      
api                            rule-engine                                        app                       100m         4            700Mi        1000Mi      
api                            rule-engine-primary                                app                       100m         4            700Mi        1000Mi      
api                            security                                           app                       100m         4            700Mi        1000Mi      
api                            security-primary                                   app                       100m         4            700Mi        1000Mi      
api                            topups                                             app                       1            4            1500Mi       1950Mi      
api                            topups                                             topups-third-party-log    1m           10m          6Mi          60Mi        
api                            topups                                             topups-stats-log          1m           10m          6Mi          60Mi        
api                            topups                                             transport-stats-log       1m           10m          6Mi          60Mi        
api                            topups                                             gift-stats-log            1m           10m          6Mi          60Mi        
api                            topups                                             prepaidcard-stats-log     1m           10m          6Mi          60Mi        
api                            topups                                             hystrix-stats-log         1m           10m          6Mi          60Mi        
api                            topups                                             topups-catalina-log       1m           10m          6Mi          60Mi        
api                            topups                                             gwcel-stats               1m           10m          6Mi          60Mi        
api                            topups-primary                                     app                       1            4            1500Mi       1950Mi      
api                            topups-primary                                     topups-third-party-log    1m           10m          6Mi          60Mi        
api                            topups-primary                                     topups-stats-log          1m           10m          6Mi          60Mi        
api                            topups-primary                                     transport-stats-log       1m           10m          6Mi          60Mi        
api                            topups-primary                                     gift-stats-log            1m           10m          6Mi          60Mi        
api                            topups-primary                                     prepaidcard-stats-log     1m           10m          6Mi          60Mi        
api                            topups-primary                                     hystrix-stats-log         1m           10m          6Mi          60Mi        
api                            topups-primary                                     topups-catalina-log       1m           10m          6Mi          60Mi        
api                            topups-primary                                     gwcel-stats               1m           10m          6Mi          60Mi        
api                            ts                                                 app                       1            2            2700Mi       2700Mi      
api                            ts                                                 ts-app-container-log      1m           10m          6Mi          60Mi        
api                            ts                                                 ts-third-party-log        20m          60m          15Mi         60Mi        
api                            ts                                                 ts-access-log             10m          30m          20Mi         60Mi        
